Wavelength Spectrum:
Wavelength: -3.60e-03 m, Magnitude: 0.49999999999923483
Wavelength: 1.54e-05 m, Magnitude: 0.5000041702255108
Wavelength: 1.52e-05 m, Magnitude: 0.5000042778402489
Wavelength: 1.51e-05 m, Magnitude: 0.5000043868262419
Wavelength: 1.49e-05 m, Magnitude: 0.5000044971831606
Wavelength: 1.47e-05 m, Magnitude: 0.5000046089112989
Wavelength: 1.45e-05 m, Magnitude: 0.5000047220099323
Wavelength: 1.43e-05 m, Magnitude: 0.5000048364795361
Wavelength: 1.42e-05 m, Magnitude: 0.5000049523203887
Wavelength: 1.40e-05 m, Magnitude: 0.5000050695320043
Wavelength: 1.38e-05 m, Magnitude: 0.5000051881146703
Wavelength: 1.37e-05 m, Magnitude: 0.500005308068241
Wavelength: 1.35e-05 m, Magnitude: 0.5000054293926416
Wavelength: 1.34e-05 m, Magnitude: 0.5000055520880623
Wavelength: 1.32e-05 m, Magnitude: 0.5000056761544585
Wavelength: 1.31e-05 m, Magnitude: 0.50000580159171
Wavelength: 1.29e-05 m, Magnitude: 0.5000059284000892
Wavelength: 1.28e-05 m, Magnitude: 0.500006056579238
Wavelength: 1.27e-05 m, Magnitude: 0.5000061861293622
Wavelength: 1.25e-05 m, Magnitude: 0.5000063170505916
Wavelength: 1.24e-05 m, Magnitude: 0.5000064493425883
Wavelength: 1.23e-05 m, Magnitude: 0.5000065830058272
Wavelength: 1.22e-05 m, Magnitude: 0.5000067180396741
Wavelength: 1.20e-05 m, Magnitude: 0.5000068544445596
Wavelength: 1.19e-05 m, Magnitude: 0.5000069922208833
Wavelength: 1.18e-05 m, Magnitude: 0.5000071313676405
Wavelength: 1.17e-05 m, Magnitude: 0.5000072718856443
Wavelength: 1.16e-05 m, Magnitude: 0.5000074137744581
Wavelength: 1.15e-05 m, Magnitude: 0.5000075570342504
Wavelength: 1.13e-05 m, Magnitude: 0.5000077016652246
Wavelength: 1.12e-05 m, Magnitude: 0.5000078476669969
Wavelength: 1.11e-05 m, Magnitude: 0.500007995039625
Wavelength: 1.10e-05 m, Magnitude: 0.5000081437834424
Wavelength: 1.09e-05 m, Magnitude: 0.5000082938978906
Wavelength: 1.08e-05 m, Magnitude: 0.500008445384086
Wavelength: 1.07e-05 m, Magnitude: 0.5000085982407443
Wavelength: 1.06e-05 m, Magnitude: 0.5000087524682603
Wavelength: 1.05e-05 m, Magnitude: 0.5000089080671776
Wavelength: 1.05e-05 m, Magnitude: 0.5000090650364724
Wavelength: 1.04e-05 m, Magnitude: 0.5000092233774764
Wavelength: 1.03e-05 m, Magnitude: 0.500009383089781
Wavelength: 1.02e-05 m, Magnitude: 0.500009544170246
Wavelength: 1.01e-05 m, Magnitude: 0.5000097066249554
Wavelength: 1.00e-05 m, Magnitude: 0.5000098704513875
Wavelength: 9.94e-06 m, Magnitude: 0.5000100356466671
Wavelength: 9.86e-06 m, Magnitude: 0.5000102022123312
Wavelength: 9.78e-06 m, Magnitude: 0.500010370150382
Wavelength: 9.70e-06 m, Magnitude: 0.5000105394588854
Wavelength: 9.62e-06 m, Magnitude: 0.5000107101389833
Wavelength: 9.54e-06 m, Magnitude: 0.5000108821900341
Wavelength: 9.47e-06 m, Magnitude: 0.5000110556120719
Wavelength: 9.39e-06 m, Magnitude: 0.5000112304044727
Wavelength: 9.32e-06 m, Magnitude: 0.5000114065684488
Wavelength: 9.25e-06 m, Magnitude: 0.5000115841034973
Wavelength: 9.18e-06 m, Magnitude: 0.5000117630095334
Wavelength: 9.11e-06 m, Magnitude: 0.5000119432861244
Wavelength: 9.04e-06 m, Magnitude: 0.5000121249340872
Wavelength: 8.97e-06 m, Magnitude: 0.5000123079533071
Wavelength: 8.90e-06 m, Magnitude: 0.5000124923434186
Wavelength: 8.84e-06 m, Magnitude: 0.5000126781047184
Wavelength: 8.77e-06 m, Magnitude: 0.5000128652367343
Wavelength: 8.71e-06 m, Magnitude: 0.5000130537398886
Wavelength: 8.65e-06 m, Magnitude: 0.5000132436144048
Wavelength: 8.59e-06 m, Magnitude: 0.5000134348595672
Wavelength: 8.52e-06 m, Magnitude: 0.5000136274762349
Wavelength: 8.46e-06 m, Magnitude: 0.5000138214635227
Wavelength: 8.41e-06 m, Magnitude: 0.50001401682198
Wavelength: 8.35e-06 m, Magnitude: 0.5000142135515437
Wavelength: 8.29e-06 m, Magnitude: 0.5000144116522931
Wavelength: 8.23e-06 m, Magnitude: 0.5000146111241002
Wavelength: 8.18e-06 m, Magnitude: 0.5000148119667872
Wavelength: 8.12e-06 m, Magnitude: 0.5000150141806089
Wavelength: 8.07e-06 m, Magnitude: 0.5000152177657876
Wavelength: 8.01e-06 m, Magnitude: 0.5000154227217333
Wavelength: 7.96e-06 m, Magnitude: 0.5000156290488006
Wavelength: 7.91e-06 m, Magnitude: 0.5000158367471321
Wavelength: 7.85e-06 m, Magnitude: 0.5000160458163679
Wavelength: 7.80e-06 m, Magnitude: 0.5000162562568483
Wavelength: 7.75e-06 m, Magnitude: 0.5000164680683232
Wavelength: 7.70e-06 m, Magnitude: 0.5000166812509054
Wavelength: 7.65e-06 m, Magnitude: 0.5000168958045542
Wavelength: 7.61e-06 m, Magnitude: 0.5000171117293235
Wavelength: 7.56e-06 m, Magnitude: 0.5000173290253249
Wavelength: 7.51e-06 m, Magnitude: 0.5000175476924192
Wavelength: 7.46e-06 m, Magnitude: 0.5000177677302267
Wavelength: 7.42e-06 m, Magnitude: 0.5000179891396831
Wavelength: 7.37e-06 m, Magnitude: 0.5000182119201395
Wavelength: 7.33e-06 m, Magnitude: 0.5000184360717259
Wavelength: 7.28e-06 m, Magnitude: 0.5000186615941817
Wavelength: 7.24e-06 m, Magnitude: 0.5000188884883239
Wavelength: 7.20e-06 m, Magnitude: 0.5000191167531279
Wavelength: 7.15e-06 m, Magnitude: 0.5000193463889372
Wavelength: 7.11e-06 m, Magnitude: 0.5000195773959217
Wavelength: 7.07e-06 m, Magnitude: 0.500019809774247
Wavelength: 7.03e-06 m, Magnitude: 0.5000200435234605
Wavelength: 6.99e-06 m, Magnitude: 0.5000202786446
Wavelength: 6.94e-06 m, Magnitude: 0.5000205151357787
Wavelength: 6.91e-06 m, Magnitude: 0.500020752999216
Wavelength: 6.87e-06 m, Magnitude: 0.500020992233426
Wavelength: 6.83e-06 m, Magnitude: 0.5000212328386173
Wavelength: 6.79e-06 m, Magnitude: 0.5000214748148082
Wavelength: 6.75e-06 m, Magnitude: 0.500021718162296
Wavelength: 6.71e-06 m, Magnitude: 0.5000219628807877
Wavelength: 6.67e-06 m, Magnitude: 0.5000222089706673
Wavelength: 6.64e-06 m, Magnitude: 0.500022456431772
Wavelength: 6.60e-06 m, Magnitude: 0.5000227052640787
Wavelength: 6.56e-06 m, Magnitude: 0.5000229554676132
Wavelength: 6.53e-06 m, Magnitude: 0.500023207042119
Wavelength: 6.49e-06 m, Magnitude: 0.5000234599878864
Wavelength: 6.46e-06 m, Magnitude: 0.5000237143050246
Wavelength: 6.42e-06 m, Magnitude: 0.5000239699932101
Wavelength: 6.39e-06 m, Magnitude: 0.500024227052827
Wavelength: 6.36e-06 m, Magnitude: 0.5000244854831339
Wavelength: 6.32e-06 m, Magnitude: 0.5000247452850299
Wavelength: 6.29e-06 m, Magnitude: 0.5000250064581585
Wavelength: 6.26e-06 m, Magnitude: 0.5000252690022923
Wavelength: 6.22e-06 m, Magnitude: 0.5000255329178365
Wavelength: 6.19e-06 m, Magnitude: 0.5000257982044636
Wavelength: 6.16e-06 m, Magnitude: 0.5000260648622445
Wavelength: 6.13e-06 m, Magnitude: 0.5000263328916925
Wavelength: 6.10e-06 m, Magnitude: 0.5000266022919106
Wavelength: 6.07e-06 m, Magnitude: 0.5000268730636723
Wavelength: 6.04e-06 m, Magnitude: 0.500027145206419
Wavelength: 6.01e-06 m, Magnitude: 0.5000274187203543
Wavelength: 5.98e-06 m, Magnitude: 0.5000276936062416
Wavelength: 5.95e-06 m, Magnitude: 0.5000279698626319
Wavelength: 5.92e-06 m, Magnitude: 0.5000282474904549
Wavelength: 5.89e-06 m, Magnitude: 0.5000285264896631
Wavelength: 5.86e-06 m, Magnitude: 0.5000288068598769
Wavelength: 5.83e-06 m, Magnitude: 0.5000290886018501
Wavelength: 5.80e-06 m, Magnitude: 0.5000293717146775
Wavelength: 5.77e-06 m, Magnitude: 0.500029656198731
Wavelength: 5.75e-06 m, Magnitude: 0.5000299420543929
Wavelength: 5.72e-06 m, Magnitude: 0.5000302292804758
Wavelength: 5.69e-06 m, Magnitude: 0.5000305178794339
Wavelength: 5.67e-06 m, Magnitude: 0.500030807848767
Wavelength: 5.64e-06 m, Magnitude: 0.5000310991890454
Wavelength: 5.61e-06 m, Magnitude: 0.5000313919014865
Wavelength: 5.59e-06 m, Magnitude: 0.5000316859840397
Wavelength: 5.56e-06 m, Magnitude: 0.5000319814389682
Wavelength: 5.53e-06 m, Magnitude: 0.5000322782659082
Wavelength: 5.51e-06 m, Magnitude: 0.5000325764593089
Wavelength: 5.48e-06 m, Magnitude: 0.5000328760294801
Wavelength: 5.46e-06 m, Magnitude: 0.5000331769720391
Wavelength: 5.43e-06 m, Magnitude: 0.5000334792824016
Wavelength: 5.41e-06 m, Magnitude: 0.5000337829635206
Wavelength: 5.39e-06 m, Magnitude: 0.5000340880181112
Wavelength: 5.36e-06 m, Magnitude: 0.5000343944429159
Wavelength: 5.34e-06 m, Magnitude: 0.5000347022397535
Wavelength: 5.31e-06 m, Magnitude: 0.5000350114078488
Wavelength: 5.29e-06 m, Magnitude: 0.5000353219466659
Wavelength: 5.27e-06 m, Magnitude: 0.5000356338575234
Wavelength: 5.24e-06 m, Magnitude: 0.5000359471393819
Wavelength: 5.22e-06 m, Magnitude: 0.5000362617926625
Wavelength: 5.20e-06 m, Magnitude: 0.5000365778175597
Wavelength: 5.18e-06 m, Magnitude: 0.5000368952133124
Wavelength: 5.15e-06 m, Magnitude: 0.5000372139808554
Wavelength: 5.13e-06 m, Magnitude: 0.5000375341196625
Wavelength: 5.11e-06 m, Magnitude: 0.5000378556299961
Wavelength: 5.09e-06 m, Magnitude: 0.5000381785118688
Wavelength: 5.07e-06 m, Magnitude: 0.5000385027644015
Wavelength: 5.05e-06 m, Magnitude: 0.5000388283888377
Wavelength: 5.02e-06 m, Magnitude: 0.5000391553848594
Wavelength: 5.00e-06 m, Magnitude: 0.500039483751993
Wavelength: 4.98e-06 m, Magnitude: 0.500039813490728
Wavelength: 4.96e-06 m, Magnitude: 0.5000401446005831
Wavelength: 4.94e-06 m, Magnitude: 0.5000404770820182
Wavelength: 4.92e-06 m, Magnitude: 0.5000408109348353
Wavelength: 4.90e-06 m, Magnitude: 0.5000411461593011
Wavelength: 4.88e-06 m, Magnitude: 0.5000414827552033
Wavelength: 4.86e-06 m, Magnitude: 0.5000418207222997
Wavelength: 4.84e-06 m, Magnitude: 0.5000421600608235
Wavelength: 4.82e-06 m, Magnitude: 0.500042500771198
Wavelength: 4.80e-06 m, Magnitude: 0.50004284285269
Wavelength: 4.78e-06 m, Magnitude: 0.5000431863057043
Wavelength: 4.76e-06 m, Magnitude: 0.5000435311302016
Wavelength: 4.75e-06 m, Magnitude: 0.5000438773260872
Wavelength: 4.73e-06 m, Magnitude: 0.5000442248937058
Wavelength: 4.71e-06 m, Magnitude: 0.5000445738324888
Wavelength: 4.69e-06 m, Magnitude: 0.5000449241429478
Wavelength: 4.67e-06 m, Magnitude: 0.5000452758246307
Wavelength: 4.65e-06 m, Magnitude: 0.5000456288781544
Wavelength: 4.64e-06 m, Magnitude: 0.5000459833032701
Wavelength: 4.62e-06 m, Magnitude: 0.5000463390998265
Wavelength: 4.60e-06 m, Magnitude: 0.5000466962672125
Wavelength: 4.58e-06 m, Magnitude: 0.5000470548066448
Wavelength: 4.57e-06 m, Magnitude: 0.5000474147178176
Wavelength: 4.55e-06 m, Magnitude: 0.5000477760005501
Wavelength: 4.53e-06 m, Magnitude: 0.5000481386542078
Wavelength: 4.51e-06 m, Magnitude: 0.5000485026803615
Wavelength: 4.50e-06 m, Magnitude: 0.5000488680770061
Wavelength: 4.48e-06 m, Magnitude: 0.5000492348454076
Wavelength: 4.46e-06 m, Magnitude: 0.5000496029855791
Wavelength: 4.45e-06 m, Magnitude: 0.5000499724972913
Wavelength: 4.43e-06 m, Magnitude: 0.5000503433805136
Wavelength: 4.41e-06 m, Magnitude: 0.5000507156353464
Wavelength: 4.40e-06 m, Magnitude: 0.5000510892616206
Wavelength: 4.38e-06 m, Magnitude: 0.5000514642597069
Wavelength: 4.37e-06 m, Magnitude: 0.500051840629283
Wavelength: 4.35e-06 m, Magnitude: 0.500052218370431
Wavelength: 4.33e-06 m, Magnitude: 0.5000525974831218
Wavelength: 4.32e-06 m, Magnitude: 0.5000529779673124
Wavelength: 4.30e-06 m, Magnitude: 0.5000533598232286
Wavelength: 4.29e-06 m, Magnitude: 0.5000537430507332
Wavelength: 4.27e-06 m, Magnitude: 0.5000541276499961
Wavelength: 4.26e-06 m, Magnitude: 0.5000545136206328
Wavelength: 4.24e-06 m, Magnitude: 0.5000549009632125
Wavelength: 4.23e-06 m, Magnitude: 0.5000552896771386
Wavelength: 4.21e-06 m, Magnitude: 0.5000556797626775
Wavelength: 4.20e-06 m, Magnitude: 0.500056071220031
Wavelength: 4.18e-06 m, Magnitude: 0.5000564640489258
Wavelength: 4.17e-06 m, Magnitude: 0.5000568582495769
Wavelength: 4.15e-06 m, Magnitude: 0.5000572538215794
Wavelength: 4.14e-06 m, Magnitude: 0.500057650765501
Wavelength: 4.13e-06 m, Magnitude: 0.5000580490810218
Wavelength: 4.11e-06 m, Magnitude: 0.5000584487681401
Wavelength: 4.10e-06 m, Magnitude: 0.5000588498270512
Wavelength: 4.08e-06 m, Magnitude: 0.5000592522576243
Wavelength: 4.07e-06 m, Magnitude: 0.5000596560598383
Wavelength: 4.06e-06 m, Magnitude: 0.5000600612338261
Wavelength: 4.04e-06 m, Magnitude: 0.5000604677794066
Wavelength: 4.03e-06 m, Magnitude: 0.50006087569682
Wavelength: 4.02e-06 m, Magnitude: 0.5000612849857861
Wavelength: 4.00e-06 m, Magnitude: 0.5000616956465113
Wavelength: 3.99e-06 m, Magnitude: 0.5000621076791677
Wavelength: 3.98e-06 m, Magnitude: 0.5000625210831855
Wavelength: 3.96e-06 m, Magnitude: 0.500062935859053
Wavelength: 3.95e-06 m, Magnitude: 0.5000633520067669
Wavelength: 3.94e-06 m, Magnitude: 0.5000637695262093
Wavelength: 3.92e-06 m, Magnitude: 0.5000641884173017
Wavelength: 3.91e-06 m, Magnitude: 0.5000646086801532
Wavelength: 3.90e-06 m, Magnitude: 0.5000650303148985
Wavelength: 3.88e-06 m, Magnitude: 0.5000654533212888
Wavelength: 3.87e-06 m, Magnitude: 0.5000658776989554
Wavelength: 3.86e-06 m, Magnitude: 0.5000663034496721
Wavelength: 3.85e-06 m, Magnitude: 0.5000667305713172
Wavelength: 3.84e-06 m, Magnitude: 0.5000671590649131
Wavelength: 3.82e-06 m, Magnitude: 0.5000675889302759
Wavelength: 3.81e-06 m, Magnitude: 0.5000680201674651
Wavelength: 3.80e-06 m, Magnitude: 0.5000684527763457
Wavelength: 3.79e-06 m, Magnitude: 0.50006888675711
Wavelength: 3.77e-06 m, Magnitude: 0.5000693221096207
Wavelength: 3.76e-06 m, Magnitude: 0.5000697588340681
Wavelength: 3.75e-06 m, Magnitude: 0.5000701969303174
Wavelength: 3.74e-06 m, Magnitude: 0.5000706363983921
Wavelength: 3.73e-06 m, Magnitude: 0.5000710772382584
Wavelength: 3.72e-06 m, Magnitude: 0.500071519449879
Wavelength: 3.70e-06 m, Magnitude: 0.5000719630334509
Wavelength: 3.69e-06 m, Magnitude: 0.5000724079889435
Wavelength: 3.68e-06 m, Magnitude: 0.5000728543164675
Wavelength: 3.67e-06 m, Magnitude: 0.5000733020152488
Wavelength: 3.66e-06 m, Magnitude: 0.5000737510868241
Wavelength: 3.65e-06 m, Magnitude: 0.5000742015296599
Wavelength: 3.64e-06 m, Magnitude: 0.5000746533443753
Wavelength: 3.63e-06 m, Magnitude: 0.5000751065312445
Wavelength: 3.62e-06 m, Magnitude: 0.5000755610900943
Wavelength: 3.60e-06 m, Magnitude: 0.5000760170206267
Wavelength: 3.59e-06 m, Magnitude: 0.5000764743230193
Wavelength: 3.58e-06 m, Magnitude: 0.5000769329975836
Wavelength: 3.57e-06 m, Magnitude: 0.5000773930438924
Wavelength: 3.56e-06 m, Magnitude: 0.5000778544620632
Wavelength: 3.55e-06 m, Magnitude: 0.5000783172522676
Wavelength: 3.54e-06 m, Magnitude: 0.5000787814144622
Wavelength: 3.53e-06 m, Magnitude: 0.5000792469486395
Wavelength: 3.52e-06 m, Magnitude: 0.5000797138546931
Wavelength: 3.51e-06 m, Magnitude: 0.5000801821326558
Wavelength: 3.50e-06 m, Magnitude: 0.5000806517827353
Wavelength: 3.49e-06 m, Magnitude: 0.500081122804683
Wavelength: 3.48e-06 m, Magnitude: 0.5000815951988032
Wavelength: 3.47e-06 m, Magnitude: 0.5000820689647776
Wavelength: 3.46e-06 m, Magnitude: 0.5000825441026185
Wavelength: 3.45e-06 m, Magnitude: 0.5000830206126962
Wavelength: 3.44e-06 m, Magnitude: 0.5000834984948411
Wavelength: 3.43e-06 m, Magnitude: 0.5000839777487704
Wavelength: 3.42e-06 m, Magnitude: 0.500084458374635
Wavelength: 3.41e-06 m, Magnitude: 0.5000849403725999
Wavelength: 3.40e-06 m, Magnitude: 0.5000854237430097
Wavelength: 3.39e-06 m, Magnitude: 0.5000859084853313
Wavelength: 3.38e-06 m, Magnitude: 0.5000863945991734
Wavelength: 3.37e-06 m, Magnitude: 0.5000868820853146
Wavelength: 3.36e-06 m, Magnitude: 0.500087370943476
Wavelength: 3.35e-06 m, Magnitude: 0.5000878611750652
Wavelength: 3.34e-06 m, Magnitude: 0.5000883527785707
Wavelength: 3.33e-06 m, Magnitude: 0.5000888457531693
Wavelength: 3.32e-06 m, Magnitude: 0.5000893400985915
Wavelength: 3.32e-06 m, Magnitude: 0.5000898358159128
Wavelength: 3.31e-06 m, Magnitude: 0.500090332906506
Wavelength: 3.30e-06 m, Magnitude: 0.5000908313700445
Wavelength: 3.29e-06 m, Magnitude: 0.5000913312056016
Wavelength: 3.28e-06 m, Magnitude: 0.5000918324127133
Wavelength: 3.27e-06 m, Magnitude: 0.5000923349916584
Wavelength: 3.26e-06 m, Magnitude: 0.5000928389432409
Wavelength: 3.25e-06 m, Magnitude: 0.500093344267263
Wavelength: 3.24e-06 m, Magnitude: 0.5000938509630332
Wavelength: 3.24e-06 m, Magnitude: 0.5000943590309025
Wavelength: 3.23e-06 m, Magnitude: 0.5000948684702672
Wavelength: 3.22e-06 m, Magnitude: 0.5000953792833135
Wavelength: 3.21e-06 m, Magnitude: 0.5000958914674867
Wavelength: 3.20e-06 m, Magnitude: 0.5000964050240708
Wavelength: 3.19e-06 m, Magnitude: 0.5000969199528372
Wavelength: 3.18e-06 m, Magnitude: 0.5000974362540778
Wavelength: 3.18e-06 m, Magnitude: 0.500097953927371
Wavelength: 3.17e-06 m, Magnitude: 0.5000984729728993
Wavelength: 3.16e-06 m, Magnitude: 0.5000989933904326
Wavelength: 3.15e-06 m, Magnitude: 0.5000995151804261
Wavelength: 3.14e-06 m, Magnitude: 0.5001000383426727
Wavelength: 3.13e-06 m, Magnitude: 0.5001005628772681
Wavelength: 3.13e-06 m, Magnitude: 0.5001010887838669
Wavelength: 3.12e-06 m, Magnitude: 0.5001016160626033
Wavelength: 3.11e-06 m, Magnitude: 0.5001021447138263
Wavelength: 3.10e-06 m, Magnitude: 0.500102674737484
Wavelength: 3.09e-06 m, Magnitude: 0.5001032061332334
Wavelength: 3.09e-06 m, Magnitude: 0.5001037389010875
Wavelength: 3.08e-06 m, Magnitude: 0.5001042730413967
Wavelength: 3.07e-06 m, Magnitude: 0.5001048085541138
Wavelength: 3.06e-06 m, Magnitude: 0.5001053454391791
Wavelength: 3.05e-06 m, Magnitude: 0.5001058836962916
Wavelength: 3.05e-06 m, Magnitude: 0.5001064233259652
Wavelength: 3.04e-06 m, Magnitude: 0.5001069643279382
Wavelength: 3.03e-06 m, Magnitude: 0.5001075067022116
Wavelength: 3.02e-06 m, Magnitude: 0.5001080504488372
Wavelength: 3.02e-06 m, Magnitude: 0.5001085955677964
Wavelength: 3.01e-06 m, Magnitude: 0.5001091420590048
Wavelength: 3.00e-06 m, Magnitude: 0.5001096899229801
Wavelength: 2.99e-06 m, Magnitude: 0.5001102391589868
Wavelength: 2.99e-06 m, Magnitude: 0.5001107897672455
Wavelength: 2.98e-06 m, Magnitude: 0.5001113417479377
Wavelength: 2.97e-06 m, Magnitude: 0.5001118951013183
Wavelength: 2.96e-06 m, Magnitude: 0.5001124498273855
Wavelength: 2.96e-06 m, Magnitude: 0.5001130059251028
Wavelength: 2.95e-06 m, Magnitude: 0.5001135633955174
Wavelength: 2.94e-06 m, Magnitude: 0.5001141222385929
Wavelength: 2.93e-06 m, Magnitude: 0.5001146824539513
Wavelength: 2.93e-06 m, Magnitude: 0.5001152440422412
Wavelength: 2.92e-06 m, Magnitude: 0.5001158070019147
Wavelength: 2.91e-06 m, Magnitude: 0.5001163713344313
Wavelength: 2.91e-06 m, Magnitude: 0.5001169370401536
Wavelength: 2.90e-06 m, Magnitude: 0.5001175041176916
Wavelength: 2.89e-06 m, Magnitude: 0.5001180725686759
Wavelength: 2.88e-06 m, Magnitude: 0.5001186423908025
Wavelength: 2.88e-06 m, Magnitude: 0.500119213584727
Wavelength: 2.87e-06 m, Magnitude: 0.5001197861561888
Wavelength: 2.86e-06 m, Magnitude: 0.5001203600949312
Wavelength: 2.86e-06 m, Magnitude: 0.5001209354048607
Wavelength: 2.85e-06 m, Magnitude: 0.5001215120908166
Wavelength: 2.84e-06 m, Magnitude: 0.5001220901498734
Wavelength: 2.84e-06 m, Magnitude: 0.5001226695792299
Wavelength: 2.83e-06 m, Magnitude: 0.50012325038236
Wavelength: 2.82e-06 m, Magnitude: 0.5001238325574521
Wavelength: 2.82e-06 m, Magnitude: 0.5001244161055483
Wavelength: 2.81e-06 m, Magnitude: 0.5001250010265718
Wavelength: 2.80e-06 m, Magnitude: 0.5001255873196865
Wavelength: 2.80e-06 m, Magnitude: 0.500126174985299
Wavelength: 2.79e-06 m, Magnitude: 0.5001267640235822
Wavelength: 2.78e-06 m, Magnitude: 0.5001273544346506
Wavelength: 2.78e-06 m, Magnitude: 0.500127946218781
Wavelength: 2.77e-06 m, Magnitude: 0.5001285393746935
Wavelength: 2.77e-06 m, Magnitude: 0.5001291339032803
Wavelength: 2.76e-06 m, Magnitude: 0.5001297298050948
Wavelength: 2.75e-06 m, Magnitude: 0.5001303270793748
